============================================================
====== CONTENTS OF: backtest_2025-08-13_15-15-55.txt ======
============================================================

===== BACKTEST REPORT FOR: signals_2025-08-13_20-45-55.json =====
Signal Generation Time (UTC): 2025-08-13 15:15:55

--- BUY SIGNALS ---
        Coin Signal  POP  EMA_Boost_Applied      Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later
     SEIUSDT    Buy   60              False      Success           18.0        0.356400          0.346900               No
    ONDOUSDT    Buy   60              False      Success           25.0        1.073800          1.055000               No
     TONUSDT    Buy   60              False      Success          105.0        3.507200          3.452400               No
     ETCUSDT    Buy   60              False      Success           20.0       24.252000         23.858000               No
   TOWNSUSDT    Buy   60              False         Fail           47.0        0.034240          0.032870               No
     APTUSDT    Buy   60              False      Success           21.0        5.068500          4.906200               No
1000SHIBUSDT    Buy   60              False      Success           77.0        0.013910          0.013709               No
    NEARUSDT    Buy   60              False      Success          133.0        2.950000          2.897000               No
     WLDUSDT    Buy   60              False      Success           27.0        1.123200          1.080100               No
    HBARUSDT    Buy   60              False Inconclusive            NaN        0.265140          0.261600               No
   ETHFIUSDT    Buy   80              False         Fail          157.0        1.313700          1.257000               No
     SPKUSDT    Buy   60              False      Success            2.0        0.094970          0.089100               No
     TIAUSDT    Buy   60              False      Success           10.0        1.998000          1.948000               No
     FILUSDT    Buy   60              False      Success           26.0        2.733000          2.685000               No
     TRXUSDT    Buy   89              False      Success           20.0        0.362470          0.358660               No
     GTCUSDT    Buy   75              False         Fail           53.0        0.509000          0.442000               No
     TAOUSDT    Buy   60              False         Fail          145.0      396.670000        385.840000               No
    HIFIUSDT    Buy   60              False      Success            9.0        0.095560          0.092640               No
  PENDLEUSDT    Buy   60              False      Success           27.0        5.731200          5.543300               No
     INJUSDT    Buy   60              False      Success           78.0       16.065000         15.523000               No
    BOMEUSDT    Buy   60              False         Fail          157.0        0.002165          0.002096               No
     WCTUSDT    Buy   60              False         Fail          146.0        0.351100          0.343400               No
   EIGENUSDT    Buy   89              False      Success           32.0        1.602100          1.532600               No
     JUPUSDT    Buy   60              False Inconclusive            NaN        0.553000          0.540700               No
    TREEUSDT    Buy   60              False         Fail          157.0        0.425400          0.412200               No
   NEIROUSDT    Buy   60              False      Success            0.0        0.000445          0.000400               No
    MYROUSDT    Buy   60              False Inconclusive            NaN        0.030890          0.029700               No
  ALPINEUSDT    Buy   60              False      Success           17.0        1.440700          1.381700               No
     BIOUSDT    Buy   60              False      Success            7.0        0.120660          0.116530               No
 VIRTUALUSDT    Buy   60              False         Fail          158.0        1.376600          1.337600               No

--- SELL SIGNALS ---
  Coin Signal  POP  EMA_Boost_Applied Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later
INUSDT   Sell   58              False Success            6.0         0.10056            0.1138               No



============================================================
