===== BACKTEST REPORT FOR: signals_2025-08-20_21-10-32.json =====
Signal Generation Time (UTC): 2025-08-20 15:40:32

--- STRONG BUY SIGNALS ---
(None)

--- BUY SIGNALS ---
  Coin             Signal           Confidence       POP              Outcome          Duration(min)    MaxProfitPrice   MaxDrawdownPrice  Did_TP_Hit_Later  Buy_Score        Sell_Score       Base_Score_OK    Num_Conf         Confluence_OK    Vol_Profile_OK   Min_Profit_OK    Profit_Ceiling_OK  Regime           RegimeScore      MACD_Hist        ADX15m           RSI              CCI              %B               Overshoot_OK     BB_Touch         RSI_Extreme      CCI_Extreme      Initial_Signal   Aligned          Vetoes_Passed    Downgrade_Reason
  SEIUSDT          Sell             27               86               Fail             40               0.300900         0.310000         No               -5               30               True             1                False            False            False            True             Neutral          -1               0.000798         15.862804        69.891421        96.594732        0.792500         False            False            False            False            Sell             False            base_ok          N/A            
  HBARUSDT         Sell             27               86               Fail             46               0.234850         0.240650         No               -5               30               True             1                False            False            False            True             Neutral          -1               0.000276         15.862804        63.066092        82.887823        0.748000         False            False            False            False            Sell             False            base_ok          N/A            
  FILUSDT          Sell             27               86               Inconclusive     0                2.407000         2.446000         No               -5               30               True             1                False            False            False            True             Neutral          -1               0.002781         15.862804        64.479469        73.050616        0.719200         False            False            False            False            Sell             False            base_ok          N/A            
  ONDOUSDT         Sell             27               86               Fail             125              0.930700         0.950400         No               -5               30               True             1                False            False            False            True             Neutral          -1               0.001293         15.862804        63.102564        78.223354        0.728100         False            False            False            False            Sell             False            base_ok          N/A            
  1000SHIBUSDT     Sell             27               86               Fail             41               0.012321         0.012570         No               -5               30               True             1                False            False            False            True             Neutral          -1               0.000016         15.862804        66.207519        83.761940        0.691400         False            False            False            False            Sell             False            base_ok          N/A            
  TIAUSDT          Sell             27               86               Success          16               1.698500         1.740000         Yes              -5               30               True             1                False            False            False            True             Neutral          -1               0.002921         15.862804        69.231621        88.944781        0.773500         False            False            False            False            Sell             False            base_ok          N/A            
  INJUSDT          Sell             27               86               Fail             125              13.633000        14.002000        No               -5               30               True             1                False            False            False            True             Neutral          -1               0.026898         15.862804        69.497825        97.245865        0.795800         False            False            False            False            Sell             False            base_ok          N/A            
  BCHUSDT          Sell             27               86               Success          13               551.870000       560.370000       Yes              -5               30               True             1                False            False            False            True             Neutral          -1               0.591198         15.862804        67.150943        88.740051        0.773000         False            False            False            False            Sell             False            base_ok          N/A            
  ETCUSDT          Sell             27               86               Fail             124              21.055000        21.489000        No               -5               30               True             1                False            False            False            True             Neutral          -1               0.029059         15.862804        67.956429        91.062335        0.768200         False            False            False            False            Sell             False            base_ok          N/A            
  APTUSDT          Sell             27               86               Success          13               4.396600         4.482100         Yes              -5               30               True             1                False            False            False            True             Neutral          -1               0.006149         15.862804        69.221068        93.320863        0.778000         False            False            False            False            Sell             False            base_ok          N/A            
