SourceFile,Coin,Signal,Confidence,Outcome,Duration(min),Did_TP_Hit,Buy_Score,Sell_Score,Num_Confluence_Buy,Num_Confluence_Sell,Regime,Estimated_Profit,DeservedStrongBuy,DeservedStrongSell,SignalTimeUTC,SignalTimeIST,rsi5m,williamsR,cci5m,cmf5m,stc5m,tsi5m,cvd5m,hma5m,alma5m,macd5m_macd,macd5m_signal,macd5m_hist,boll_upper,boll_middle,boll_lower,keltner_upper,keltner_middle,keltner_lower,marketTrend,RSI_buy_score,WilliamsR_buy_score,CCI_buy_score,CMF_buy_score,CVD_buy_score,HMA_buy_score,ALMA_buy_score,MACD_buy_score,RSI_sell_score,WilliamsR_sell_score,CCI_sell_score,CMF_sell_score,CVD_sell_score,HMA_sell_score,ALMA_sell_score,Keltner_sell_score,MACD_sell_score,Bollinger_buy_score,Keltner_buy_score,Bollinger_sell_score
signals_2025-09-05_13-26-45_STRONG.json,BASUSDT,Strong Sell,70,Success,19.0,True,40,70,,,Bullish,5.04%,0,0,2025-09-05T07:56:13.022722+00:00,2025-09-05T13:26:13.022722+05:30,61.684697375822395,-6.17696160267148,115.31172621764935,0.33034890714221155,,,falling,down,down,6.508879030495823e-05,2.148910790443619e-05,4.359968240052204e-05,0.02271604004101628,0.022351549999999998,0.021987059958983715,0.02260155,0.02235155,0.02210155,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,15.0,0.0,0.0,15.0,10.0,10.0,10.0,0.0,,,
signals_2025-09-05_13-26-45_STRONG.json,ARBUSDT,Strong Sell,85,Success,19.0,True,40,85,,,Bullish,5.04%,0,0,2025-09-05T07:56:13.881170+00:00,2025-09-05T13:26:13.881170+05:30,81.58739661914802,-8.955223880597256,141.3683048206796,0.23043837803236156,,,falling,down,down,0.0028259442293482318,0.001953373845048376,0.0008725703842998559,0.5005169053828391,0.49193499999999996,0.4833530946171608,0.49838499999999997,0.49193499999999996,0.48548499999999994,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,25.0,15.0,0.0,0.0,15.0,10.0,10.0,10.0,0.0,,,
signals_2025-09-05_13-26-45_STRONG.json,LTCUSDT,Strong Sell,65,Inconclusive,,False,60,65,,,Bullish,5.04%,0,0,2025-09-05T07:56:14.748283+00:00,2025-09-05T13:26:14.748283+05:30,84.50002054188968,-2.898550724637114,142.17342342342354,0.4133766703159152,,,falling,up,up,0.3357581739894755,0.2501826221854676,0.08557555180400789,113.13918619181999,112.218,111.29681380818002,112.93799999999999,112.21799999999999,111.49799999999999,10.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,25.0,15.0,0.0,0.0,15.0,0.0,0.0,10.0,0.0,,,
signals_2025-09-05_13-26-45_STRONG.json,PENGUUSDT,Strong Sell,65,Success,19.0,True,60,65,,,Bullish,5.04%,0,0,2025-09-05T07:56:15.577485+00:00,2025-09-05T13:26:15.577485+05:30,84.5849960140058,-3.527815468114201,111.02800524426803,0.2566525641954328,,,falling,up,up,0.000169445405389667,0.00012687821650358248,4.256718888608451e-05,0.029577909204914744,0.029031049999999996,0.028484190795085247,0.029419050000000002,0.029031050000000003,0.028643050000000003,10.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,25.0,15.0,0.0,0.0,15.0,0.0,0.0,10.0,0.0,,,
signals_2025-09-05_13-26-45_STRONG.json,UNIUSDT,Strong Sell,65,Success,20.0,True,60,65,,,Bullish,5.04%,0,0,2025-09-05T07:56:16.411635+00:00,2025-09-05T13:26:16.411635+05:30,82.88198572732449,-2.2099447513819417,129.16420845624526,0.29035711916683404,,,falling,up,up,0.040072300485626045,0.028191125826047735,0.01188117465957831,9.607967218484804,9.479099999999999,9.350232781515194,9.574599999999998,9.479099999999999,9.3836,10.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,25.0,15.0,0.0,0.0,15.0,0.0,0.0,10.0,0.0,,,
signals_2025-09-05_13-26-45_STRONG.json,BIOUSDT,Strong Sell,80,Success,10.0,True,60,80,,,Bullish,5.04%,0,0,2025-09-05T07:56:17.247167+00:00,2025-09-05T13:26:17.247167+05:30,71.64040440906192,-5.179282868525579,202.75611024441096,0.1535641972604022,,,falling,up,up,0.0004924396801114506,0.00035748416544885257,0.000134955514662598,0.1415467442274808,0.140372,0.1391972557725192,0.141727,0.140372,0.139017,10.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,25.0,15.0,0.0,0.0,15.0,0.0,0.0,10.0,0.0,,,15.0
signals_2025-09-05_13-26-45_STRONG.json,1000BONKUSDT,Strong Sell,100,Success,19.0,True,40,100,,,Bullish,5.04%,0,0,2025-09-05T07:56:18.081166+00:00,2025-09-05T13:26:18.081166+05:30,88.93622790831945,-6.5326633165830525,175.6749064309996,0.31133345855141914,,,falling,down,down,0.0001439295221083159,9.952759497983048e-05,4.4401927128485404e-05,0.020194606903527704,0.01980875,0.019422893096472296,0.020132250000000004,0.019808750000000003,0.019485250000000003,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,25.0,15.0,0.0,0.0,15.0,10.0,10.0,10.0,0.0,,,15.0
signals_2025-09-05_13-26-45_STRONG.json,SPKUSDT,Strong Sell,60,Inconclusive,,False,30,60,,,Bullish,5.04%,0,0,2025-09-05T07:56:18.922470+00:00,2025-09-05T13:26:18.922470+05:30,59.031330333274596,-15.384615384614836,124.85421040354306,-0.009277653829874832,,,falling,down,down,7.835510298837e-05,2.1508469814843755e-05,5.6846633173526255e-05,0.06087864885377183,0.060389000000000005,0.05989935114622818,0.060784000000000005,0.060389000000000005,0.059994000000000006,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,15.0,0.0,10.0,15.0,10.0,10.0,,0.0,,,
signals_2025-09-05_13-26-45_STRONG.json,IPUSDT,Strong Buy,70,Inconclusive,,False,70,40,,,Bullish,5.04%,0,0,2025-09-05T07:56:19.784352+00:00,2025-09-05T13:26:19.784352+05:30,36.917298878240985,-86.58227848101333,-148.55668048965484,0.06145702716614622,,,rising,down,down,-0.02756551333918722,-0.01634239988828664,-0.01122311345090058,8.277116634196183,8.191354999999998,8.105593365803813,8.264855,8.191355000000001,8.117855000000002,10.0,10.0,15.0,0.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,,10.0,,10.0,
signals_2025-09-05_13-26-45_STRONG.json,TRUMPUSDT,Strong Sell,85,Inconclusive,,False,40,85,,,Bullish,5.04%,0,0,2025-09-05T07:56:20.625104+00:00,2025-09-05T13:26:20.625104+05:30,84.82688950983456,-9.99999999999889,145.21212121212022,0.31168613483831037,,,falling,down,down,0.016231845288407598,0.010826710653973422,0.005405134634434176,8.402456088471158,8.3501,8.29774391152884,8.394100000000002,8.350100000000001,8.3061,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,25.0,15.0,0.0,0.0,15.0,10.0,10.0,10.0,0.0,,,
