SourceFile,Coin,Signal,Confidence,Outcome,Duration(min),Did_TP_Hit,Buy_Score,Sell_Score,Num_Confluence_Buy,Num_Confluence_Sell,Regime,Estimated_Profit,DeservedStrongBuy,DeservedStrongSell,SignalTimeUTC,SignalTimeIST,rsi5m,williamsR,cci5m,cmf5m,stc5m,tsi5m,cvd5m,hma5m,alma5m,macd5m_macd,macd5m_signal,macd5m_hist,boll_upper,boll_middle,boll_lower,keltner_upper,keltner_middle,keltner_lower,marketTrend,RSI_buy_score,WilliamsR_buy_score,CCI_buy_score,CMF_buy_score,CVD_buy_score,HMA_buy_score,ALMA_buy_score,MACD_buy_score,RSI_sell_score,WilliamsR_sell_score,CCI_sell_score,CMF_sell_score,CVD_sell_score,HMA_sell_score,ALMA_sell_score,MACD_sell_score,Keltner_sell_score,Bollinger_buy_score,Keltner_buy_score,Bollinger_sell_score
signals_2025-09-05_00-47-00_STRONG.json,HYPEUSDT,Sell,35,Success,7.0,True,30,35,,,Bullish,5.04%,0,0,2025-09-04T19:16:25.789587+00:00,2025-09-05T00:46:25.789587+05:30,47.6967905584083,-57.333333333332895,-25.964431353674776,-0.3946565842216014,,,falling,up,up,-0.05091677814686335,-0.050217553759021205,-0.0006992243878421456,45.35961945026971,45.10594999999999,44.852280549730274,45.33645,45.10594999999999,44.87544999999999,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,10.0,,,,
signals_2025-09-05_00-47-00_STRONG.json,ARBUSDT,Sell,45,Success,29.0,True,20,45,,,Bullish,5.04%,0,0,2025-09-04T19:16:26.679808+00:00,2025-09-05T00:46:26.679808+05:30,43.16200755465186,-56.92307692307706,-36.33822501747128,-0.10042775021329131,,,falling,down,down,-0.001035905207306842,-0.0010642033288903203,2.8298121583478263e-05,0.48570151480384344,0.4824,0.47909848519615655,0.48495,0.4824,0.47985,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,15.0,10.0,10.0,0.0,,,,
signals_2025-09-05_00-47-00_STRONG.json,PTBUSDT,Strong Sell,80,Success,2.0,True,60,80,,,Bullish,5.04%,0,0,2025-09-04T19:16:27.541221+00:00,2025-09-05T00:46:27.541221+05:30,77.37689064372692,-6.741573033707854,208.52923563064664,0.04867017274319983,,,falling,up,up,0.000518094863326421,0.0004010268457423808,0.00011706801758404014,0.029884908743702955,0.0287275,0.027570091256297044,0.029842499999999994,0.028727499999999996,0.027612499999999998,10.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,25.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,10.0,,,15.0
signals_2025-09-05_00-47-00_STRONG.json,PENGUUSDT,Sell,45,Success,22.0,True,20,45,,,Bullish,5.04%,0,0,2025-09-04T19:16:28.404077+00:00,2025-09-05T00:46:28.404077+05:30,50.317121585359814,-32.312925170067395,18.707980122781613,-0.08038345238740831,,,falling,down,down,-6.890046661926774e-06,-1.5349090354465973e-05,8.459043692539199e-06,0.028618804755903098,0.028497900000000003,0.028376995244096908,0.0286194,0.0284979,0.0283764,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,15.0,10.0,10.0,0.0,,,,
signals_2025-09-05_00-47-00_STRONG.json,IPUSDT,Buy,40,Inconclusive,,False,40,25,,,Bullish,5.04%,0,0,2025-09-04T19:16:29.515921+00:00,2025-09-05T00:46:29.515921+05:30,55.25054916359705,-29.684908789386544,49.071362780278236,-0.06563197745119044,,,falling,up,up,0.006128102446508521,0.004562285936319925,0.0015658165101885956,7.946715565042922,7.91028,7.873844434957078,7.9360800000000005,7.91028,7.88448,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,0.0,,,,
signals_2025-09-05_00-47-00_STRONG.json,LTCUSDT,Strong Sell,60,Inconclusive,,False,20,60,,,Bullish,5.04%,0,0,2025-09-04T19:16:30.372437+00:00,2025-09-05T00:46:30.372437+05:30,52.17839242629897,-18.181818181816812,79.8122065727788,-0.1237141067017869,,,falling,down,down,-0.0197009109710109,-0.0378955780330288,0.018194667062017902,110.11044158081029,109.89649999999999,109.68255841918969,110.10150000000002,109.89650000000002,109.69150000000002,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,15.0,0.0,10.0,15.0,10.0,10.0,0.0,,,,
signals_2025-09-05_00-47-00_STRONG.json,ARIAUSDT,Sell,35,Success,1.0,True,30,35,,,Bullish,5.04%,0,0,2025-09-04T19:16:31.239145+00:00,2025-09-05T00:46:31.239145+05:30,46.733740065939855,-70.87912087912089,-64.90989710048753,-0.03845525341598628,,,falling,up,up,-6.075207123319715e-05,0.0011423631472204604,-0.0012031152184536576,0.12723542722544096,0.11761499999999998,0.10799457277455903,0.12478999999999998,0.11761499999999998,0.11043999999999998,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,10.0,,,,
signals_2025-09-05_00-47-00_STRONG.json,TRUMPUSDT,Sell,45,Inconclusive,,False,30,45,,,Bullish,5.04%,0,0,2025-09-04T19:16:32.120549+00:00,2025-09-05T00:46:32.120549+05:30,55.063949189171815,-23.913043478263386,111.7306897976157,-0.1077572086014983,,,falling,down,down,0.0015254402744968587,0.0007012871049513286,0.0008241531695455301,8.267091997865462,8.2521,8.237108002134539,8.263599999999999,8.252099999999999,8.240599999999999,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,15.0,10.0,10.0,0.0,,,,
signals_2025-09-05_00-47-00_STRONG.json,UNIUSDT,Sell,45,Inconclusive,,False,20,45,,,Bullish,5.04%,0,0,2025-09-04T19:16:32.977053+00:00,2025-09-05T00:46:32.977053+05:30,46.91909576700614,-51.685393258426025,-10.292261384600762,-0.22117971075400872,,,falling,down,down,-0.00737534083778435,-0.008859460848262708,0.001484120010478358,9.23650352090864,9.2081,9.17969647909136,9.2331,9.208100000000002,9.183100000000003,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,15.0,10.0,10.0,0.0,,,,
signals_2025-09-05_00-47-00_STRONG.json,PYTHUSDT,Sell,45,Inconclusive,,False,20,45,,,Bullish,5.04%,0,0,2025-09-04T19:16:33.862731+00:00,2025-09-05T00:46:33.862731+05:30,50.556753993474715,-44.94949494949483,24.817518248180733,-0.14431217214206732,,,falling,down,down,-0.0002065463082264185,-0.00025411783585658197,4.757152763016346e-05,0.14916410556616647,0.1481185,0.1470728944338335,0.1491235,0.1481185,0.14711349999999998,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,15.0,10.0,10.0,0.0,,,,
signals_2025-09-05_00-47-00_STRONG.json,1000BONKUSDT,Sell,45,Inconclusive,,False,20,45,,,Bullish,5.04%,0,0,2025-09-04T19:16:34.723873+00:00,2025-09-05T00:46:34.723873+05:30,49.287450688467935,-39.17050691244285,7.458017368668648,-0.12979911955648174,,,falling,down,down,-1.7983791558869727e-05,-2.1770290947528853e-05,3.7864993886591254e-06,0.019345093566244947,0.01924465,0.01914420643375505,0.01932465,0.01924465,0.01916465,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,15.0,10.0,10.0,0.0,,,,
